ID,latitude,longitude,address,state,town,pinno,verified,reverse_geocoded_address,new_latitude,new_longitude,HDBSCAN_cluster_address,HDBSCAN_cluster_reverse,cluster_match,cosine_similarity
11761,18.9685518,72.8133622,gamadia colony tardeo mumbai maharashtra  400007,maharashtra,mumbai,400007,Y,"301/A, Gamadia Colony Road, Gamadia Colony, Tardeo, Mumbai, Maharashtra 400034, India",18.96833,72.813171,132,-1,False,0.84355855
11777,18.9738976,72.8059979,49 bhulabhai desai marg mahalaxmiw mahalaxmi west  breach candy cumballa 400026,maharashtra,mumbai,400026,Y,"XRF4+GCM, Bhulabhai Desai Marg, Mahalaxmi(W), Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026, India",18.9745973,72.8062562,40,34,False,0.7645002
11778,18.9679964,72.8201436,shop no 2933  central avenue c wing ground floor dbmarg mumbai central 400008,maharashtra,mumbai,400008,Y,"2021, Lamington Rd, Marzban Parsi Colony, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",18.9679372,72.8201567,119,42,False,0.44558787
11779,18.9653851,72.8162208,ground floor shop no 4 5 wallace apartment naushir bharucha marg 400007,maharashtra,mumbai,400007,Y,"PN-C-59, Grant Road West, Chikalwadi, Tardeo, Mumbai, Maharashtra 400007, India",18.9658286,72.81555,349,295,False,0.345907
11782,18.977283,72.8078325,shop no12 ramadas bhansali building mahalaxmi west breach candy 400026,maharashtra,mumbai,400026,Y,"Harish niwas, 9/B, Bhulabhai Desai Marg, Mahalaxmi West, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026, India",18.9771389,72.8077342,40,34,False,0.604433
11783,19.0063304,72.8309043,2r4jgc4 elphinstone w nm joshi marg  400013,maharashtra,mumbai,400013,Y,"9, NM Joshi Marg, opposite Deepak Cinema, Elphinstone (W), Lower Parel, Mumbai, Maharashtra 400012, India",19.0062875,72.83088839999999,316,258,False,0.511517
11784,19.0255911,72.8396478,oppshivaji park shaakuntala dadar west shivaji park dadar 400028,maharashtra,mumbai,400028,Y,"Keluskar Road Shivaji Park, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.025637,72.8398329,94,-1,False,0.7304625
11787,18.9677396,72.8097715,shop no 2 dilkoosha building altamount rd tardeo 400026,maharashtra,mumbai,400026,Y,"XR95+3WJ, Altamount Rd, Gowalia Tank, Tardeo, Mumbai, Maharashtra 400026, India",18.9684308,72.8102053,352,-1,False,0.4666196
11789,18.9668018,72.8288676,shop no s4 memni building ma road junction  nagpada mumbai 400008,maharashtra,mumbai,400008,Y,"Memni Building, Dimtimkar Rd, Nagpada, Mumbai, Maharashtra 400008, India",18.9663541,72.8291497,352,243,False,0.7422045
11792,18.9687861,72.8200885,shop no26 ground floor nathani heights  k kadam margmumbai central 400008,maharashtra,mumbai,400008,Y,"1, Bellasis Rd, Marzban Parsi Colony, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India",18.9685029,72.821651,358,42,False,0.48405474
11800,19.005235,72.819385,shop no 5plot no108 navneela buildingb wing drrgthadani margnext to sadanand resturan 400018,maharashtra,mumbai,400018,Y,"27, Ganpat Jadhav Marg, B Wing, Bdd Chawl, Worli, Mumbai, Maharashtra 400018, India",19.005178,72.81954499999999,352,-1,False,0.42532888
11803,19.0120037,72.834053,shop no1 7 dudhwala chawl kakasaheb gadgil marg  dadar west mumbai 400028,maharashtra,mumbai,400028,Y,"2 New, Lokmanya Nagar, Priyadarshini CHS, Mumbai, Maharashtra 400025, India",19.0107602,72.8327156,448,458,False,0.47955528
11807,18.9980416,72.8302216,shop no 1 2 jamila building ganapatrao kadam marg lower parel west mumbai 400013,maharashtra,mumbai,400013,Y,"11/53, Gk Marg, Nagin Nagar Chawl, Dhuru Wadi, Lower Parel, Mumbai, Maharashtra 400013, India",18.997887,72.830231,442,199,False,0.50637114
11811,18.9917601,72.8139185,near ponam chembar anibesant r worli  400018,maharashtra,mumbai,400018,Y,"Gala 1 & 2, Atria-The Millennium Mall, POONAM CHAMBERS, A Wing, Dr Annie Besant Rd, near CEEJAY HOUSE, Markandeshwar Nagar, Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018, India",,,-1,35,False,0.45585108
11815,19.0431867,72.843915,shop no 2 puhspkunj bldg nr mahim bus depot mori rd mahim 400016,maharashtra,mumbai,400016,Y,"17, Mori Rd, Navjivan Society, Mahim, Mumbai, Maharashtra 400016, India",19.0430908,72.843988,47,396,False,0.4723884
11823,19.0432667,72.8445567,shop4 kishan niwasmori rd mahim w navjivan society mahim mumbai maharashtra 400016,maharashtra,mumbai,400016,Y,"5, Mori Rd, Central Government Staff Colony, Mahim, Mumbai, Maharashtra 400016, India",19.043264,72.8443999,444,-1,False,0.6677207
11830,19.0095436,72.8300711,prabhadevi rdnrsamana press prabhadevi rdnrsamana press prabhadevi rdnrsamana press 400025,maharashtra,mumbai,400025,Y,"New Prabhadevi Marg Dhar Mill Naka, Elphinstone West, Elphinstone, New, Kamgar Nagar, Prabhadevi, Mumbai, Maharashtra 400025, India",19.0101123,72.8296458,321,451,False,0.4922202
11847,19.0079712,72.8308587,shop no12dulabai kasam chawl slmatkar roadnrpatel stdepoprabhdevi west 400025,maharashtra,mumbai,400025,Y,"2, Gokhale Rd, Elphinstone, Saidham Nagar, Parel, Mumbai, Maharashtra 400012, India",19.0082062,72.8309961,419,-1,False,0.49255717
11856,18.9334937,72.827196,73 industrial assurance bldg v n road churchgate opp church gate railway stn 400020,maharashtra,mumbai,400020,Y,"Churchgate, Maharshi Karve Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9352596,72.827192,29,23,False,0.5214895
11858,19.0093737,72.8337685,oppsarthi bar elphiton  400013,maharashtra,mumbai,400013,Y,"40, Senapati Bapat Marg, Babasaheb Ambedkar Nagar, Lower Parel, Mumbai, Maharashtra 400013, India",18.9939405,72.82545499999999,67,199,False,0.17246081
11862,18.9503368036822,72.8381340578198,vtfortbora bazar   40001,maharashtra,mumbai,40001,Y,"Masjid, A Gandhi Marg, Katha Bazar, Vadgadi, Masjid Bandar West, Masjid Bandar, Mumbai, Maharashtra 400003, India",18.9491727,72.8376976,248,-1,False,0.25973845
11868,18.9628427,72.8359183,sir j j hospital gate no2 babula tank road mumbai 400008,maharashtra,mumbai,400008,Y,"155-70, JJ Hospital Road, Noor Baug, Umerkhadi, Mumbai, Maharashtra 400008, India",18.9628747,72.8358927,-1,217,False,0.75944114
11882,19.0298959,72.8416704,shop no6dinath terrace lj rd road west near city laight matunga east mumbai 400016,maharashtra,mumbai,400016,Y,"Citylight Cinema, Joshi Vadi, Matunga West, Mumbai, Maharashtra 400016, India",19.02985,72.84176,391,258,False,0.456367
11887,19.1734534,72.8731288,shop no 12sadguru complex flim city road goregaon east mumbai 400063,maharashtra,mumbai,400063,Y,"L-204, Film City Rd, Azad Nagar, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400063, India",19.1734131,72.8729365,128,-1,False,0.5679488
